Wall time,Step,Value
1782499655.613817,407552,214.66159057617188
1782499656.513203,408064,205.9210968017578
1782499658.33148,409088,209.74363708496094
1782499660.151735,410112,232.40328979492188
1782499661.968875,411136,238.33921813964844
1782499664.7168362,412672,215.9135284423828
1782499666.5445602,413696,213.86207580566406
1782499667.457599,414208,209.679931640625
1782499668.369466,414720,211.802978515625
1782499672.037492,416768,200.07217407226562
1782499673.859046,417792,212.69590759277344
1782499674.772369,418304,215.81040954589844
1782499676.594462,419328,223.69503784179688
1782499679.325862,420864,214.7890167236328
1782499681.1917691,421888,219.35643005371094
1782499682.1032739,422400,226.92861938476562
1782499683.011615,422912,229.48899841308594
1782499685.7295492,424448,231.35255432128906
1782499690.379931,425984,228.8401641845703
1782499691.299484,426496,218.92324829101562
1782499693.11242,427520,227.4831085205078
1782499694.9230342,428544,216.865966796875
1782499696.739083,429568,222.06094360351562
1782499701.281999,432128,219.5655059814453
1782499703.118931,433152,223.12745666503906
1782499704.051352,433664,220.57870483398438
1782499705.264272,434176,216.4583282470703
1782499706.187084,434688,221.6039581298828
1782499709.000445,436224,213.81861877441406
1782499714.612712,439296,215.9786834716797
1782499716.4717638,440320,219.62249755859375
1782499717.387899,440832,217.93934631347656
1782499718.332727,441344,217.82510375976562
1782499719.292019,441856,214.60171508789062
1782499720.2112598,442368,221.55201721191406
1782499723.841562,444416,225.23497009277344
1782499725.718552,445440,222.77255249023438
1782499726.6316302,445952,217.40573120117188
1782499729.383646,447488,207.44166564941406
1782499730.3011358,448000,214.4397430419922
1782499731.218924,448512,223.7481231689453
1782499732.137457,449024,225.6488494873047
1782499733.047838,449536,226.4835662841797
1782499736.806327,450560,241.9797821044922
1782499737.716539,451072,241.66973876953125
1782499738.629133,451584,232.57106018066406
1782499739.539665,452096,232.3900146484375
1782499741.357256,453120,231.4906768798828
1782499744.125338,454656,229.4034881591797
1782499745.954016,455680,233.17642211914062
1782499746.860555,456192,233.41737365722656
1782499748.6844668,457216,230.86648559570312
1782499749.594547,457728,225.10108947753906
1782499752.327067,459264,217.4454803466797
1782499753.2383082,459776,213.8564453125
1782499755.0632849,460800,225.06747436523438
1782499755.9811862,461312,223.21209716796875
1782499762.78028,464896,220.55783081054688
1782499763.693887,465408,219.43907165527344
1782499764.6282299,465920,223.4665069580078
1782499765.53711,466432,220.38168334960938
1782499766.455724,466944,219.21788024902344
1782499767.418519,467456,221.20892333984375
1782499768.361397,467968,227.91876220703125
1782499770.203743,468992,220.85330200195312
1782499771.1164548,469504,222.079345703125
1782499772.029435,470016,212.52452087402344
1782499774.75885,471552,212.9993438720703
1782499775.665503,472064,217.52420043945312
1782499776.577784,472576,216.69720458984375
1782499777.4890501,473088,224.096923828125
1782499779.304918,474112,234.74755859375
1782499786.6934679,477184,213.97964477539062
1782499787.6000938,477696,212.98733520507812
1782499788.5086799,478208,217.33163452148438
1782499790.348022,479232,233.22219848632812
1782499793.9818811,481280,204.58245849609375
1782499796.710589,482816,183.94454956054688
1782499799.445893,484352,211.79383850097656
1782499803.061311,486400,227.03819274902344
1782499805.8031511,487936,217.10440063476562
1782499806.7517078,488448,217.4893341064453
1782499807.898037,488960,228.74951171875
1782499809.778217,489984,242.17938232421875
1782499810.7282162,490496,241.004638671875
1782499811.684184,491008,233.1116180419922
1782499813.537159,492032,224.73565673828125
1782499814.4622028,492544,221.18394470214844
1782499815.3876412,493056,211.6840362548828
1782499816.3024378,493568,211.20388793945312
1782499817.22268,494080,209.91470336914062
1782499819.042175,495104,213.41246032714844
1782499819.957642,495616,213.10519409179688
1782499821.782909,496640,216.1570587158203
1782499823.6047528,497664,220.80491638183594
1782499824.512713,498176,206.13934326171875
1782499826.33554,499200,198.6797637939453
1782499830.1241941,500224,205.698974609375
1782499831.0583968,500736,203.52224731445312
1782499832.0032918,501248,216.56639099121094
1782499832.916028,501760,211.95022583007812
1782499835.6495821,503296,204.99395751953125
1782499836.565025,503808,209.97740173339844
1782499837.4834208,504320,205.1509552001953
1782499840.2117498,505856,227.70167541503906
1782499841.236369,506368,226.46917724609375
1782499848.5595121,510464,217.167724609375
1782499851.393334,512000,221.87266540527344
1782499852.398852,512512,220.05734252929688
1782499854.2763252,513536,221.72052001953125
1782499856.119223,514560,217.45274353027344
1782499857.03629,515072,221.3491973876953
1782499860.115535,516608,235.12789916992188
1782499861.0764658,517120,229.96194458007812
1782499862.94731,518144,224.126220703125
1782499863.880018,518656,222.76133728027344
1782499864.793878,519168,224.10946655273438
1782499865.701066,519680,225.7920684814453
1782499868.531451,521216,226.70069885253906
1782499878.2339048,525312,225.53480529785156
1782499879.152441,525824,222.7093963623047
1782499880.070687,526336,219.6920623779297
1782499881.945029,527360,223.4871368408203
1782499883.790147,528384,212.9298553466797
1782499884.781225,528896,214.03402709960938
1782499885.695004,529408,218.203857421875
1782499887.579957,530432,216.53399658203125
1782499889.712963,531456,228.26893615722656
1782499890.646652,531968,230.59669494628906
1782499891.563806,532480,229.87367248535156
1782499894.294521,534016,224.50338745117188
1782499895.198446,534528,228.4645538330078
1782499896.109214,535040,225.05967712402344
1782499900.680437,537600,227.62106323242188
1782499902.506449,538624,229.82252502441406
1782499903.415029,539136,220.9528350830078
1782499905.237885,540160,228.18930053710938
1782499906.149477,540672,226.15066528320312
1782499907.9686358,541696,229.30699157714844
1782499913.426513,544768,221.0296630859375
1782499914.332791,545280,214.12802124023438
1782499916.164168,546304,220.37327575683594
1782499918.172262,547328,237.80186462402344
1782499921.87095,549376,228.82589721679688
1782499926.060601,550400,213.86236572265625
1782499927.884144,551424,204.20420837402344
1782499929.712233,552448,218.47247314453125
1782499931.54109,553472,224.235107421875
1782499933.40359,554496,229.4388427734375
1782499934.3967848,555008,235.78355407714844
1782499935.320735,555520,231.63861083984375
1782499936.2697432,556032,234.26986694335938
1782499937.19468,556544,236.90280151367188
1782499940.845761,558592,241.4827880859375
1782499942.713023,559616,233.15635681152344
1782499943.620954,560128,227.4039306640625
1782499949.079336,563200,222.82920837402344
1782499950.893266,564224,223.53515625
1782499952.712838,565248,226.18580627441406
1782499953.628574,565760,225.2556610107422
1782499954.536736,566272,226.70965576171875
1782499959.9974642,569344,221.06944274902344
1782499962.720609,570880,220.49148559570312
1782499964.540478,571904,231.61090087890625
1782499967.26679,573440,237.69461059570312
1782499970.067625,574976,232.6627655029297
1782499973.0857651,575488,234.3838348388672
1782499975.0965052,576512,225.5530242919922
1782499976.027043,577024,233.10861206054688
1782499976.983878,577536,230.82359313964844
1782499977.9139469,578048,232.75758361816406
1782499979.739583,579072,235.813720703125
1782499980.6557791,579584,235.23977661132812
1782499982.472824,580608,226.69281005859375
1782499983.383148,581120,223.13345336914062
1782499984.299891,581632,219.48284912109375
1782499987.0334918,583168,215.48675537109375
1782499987.937834,583680,217.0038299560547
1782499989.757538,584704,220.79776000976562
1782499997.018496,588800,250.91416931152344
1782499997.930901,589312,246.5766143798828
1782499998.879613,589824,236.70001220703125
1782499999.792626,590336,238.16319274902344
1782500002.538162,591872,224.00144958496094
1782500003.4506319,592384,226.61074829101562
1782500004.364476,592896,224.97653198242188
1782500007.096183,594432,216.07623291015625
1782500008.006764,594944,214.99960327148438
1782500008.912688,595456,218.2504425048828
1782500011.63391,596992,235.15185546875
1782543640.576354,553072,246.7178192138672
1782543643.515807,554608,245.4748077392578
1782543646.054961,555632,238.00906372070312
1782543646.990828,556144,237.6313018798828
1782543648.8801851,557168,234.56568908691406
1782543649.808084,557680,240.6334686279297
1782543650.724792,558192,238.9525146484375
1782543652.7018812,559216,237.93540954589844
1782543655.5517492,560752,237.0978240966797
1782543656.5228002,561264,243.1136016845703
1782543657.4526532,561776,246.1573028564453
1782543658.370625,562288,248.61923217773438
1782543659.31022,562800,247.40185546875
1782543660.232617,563312,244.7187042236328
1782543661.1653068,563824,247.5474853515625
1782543662.185683,564336,241.37356567382812
1782543664.179646,565360,234.9598388671875
1782543666.073453,566384,240.22178649902344
1782543666.9996521,566896,239.8584442138672
1782543668.855169,567920,248.64944458007812
1782543670.840558,568944,243.476318359375
1782543672.787497,569968,249.7746124267578
1782543673.7248268,570480,251.48263549804688
1782543674.644178,570992,258.98870849609375
1782543675.57742,571504,257.9371032714844
1782543676.558916,572016,263.8084411621094
1782543677.481686,572528,259.9396057128906
1782543681.855248,574576,259.7143249511719
1782543689.6207821,577136,251.4237518310547
1782543690.5475001,577648,245.57431030273438
1782543692.497874,578672,245.39010620117188
1782543693.967659,579184,245.46194458007812
1782543694.963773,579696,246.20864868164062
1782543698.254548,581232,244.6307830810547
1782543699.330087,581744,247.6385955810547
1782543700.283159,582256,246.7154083251953
1782543702.3615942,583280,252.00558471679688
1782543705.0976698,584816,260.5439147949219
1782543707.9524832,586352,268.2070617675781
1782543709.801043,587376,262.9278259277344
1782543711.7155561,588400,261.6612854003906
1782543712.764789,588912,261.8233337402344
1782543714.705976,589936,253.93533325195312
1782543715.632643,590448,260.40478515625
1782543718.471626,591984,261.2685852050781
